id,name,brand,street,housenumber,city,postcode,lat,lon,is_duplicate
142773190,MCDONALD'S,McDonald's,Rua Henrique Schaumann,124,São Paulo,05413-010,-23.56384728924478,-46.67850537068163,1
865280465,Mc Donalds,McDonald's,Avenida Bernardino de Campos,307,,04004-050,-23.573799462071477,-46.64266860482383,1
2195123498,MCDONALD'S,McDonald's,Avenida Paulista,2034,São Paulo,01310-200,-23.558489707487556,-46.65982051732052,1
2428171364,MCDONALD'S,McDonald's,,,,,-23.5287345620252,-46.7024557447119,1
2862747295,MCDONALD'S,McDonald's,Rua Augusta,1858,São Paulo,01412-000,-23.558832654937063,-46.66096228038708,1
3383889645,McDonald's,McDonald's,,,,,-23.48821605937796,-46.71976943431613,1
3415424081,MCDONALD'S,McDonald's,Rua Oscar Freire,430,São Paulo,05406-000,-23.55569539263287,-46.67533424068362,1
4103925391,McDonald's,McDonald's,,,,,-23.65322574948348,-46.70739582050019,1
4103937989,MCDONALDS,McDonald's,Rua Direita,33,São Paulo,01002-001,-23.54936808972348,-46.63412337269936,1
4230461279,MCDONALDS,McDonald's,Rua Silva Bueno,2185,São Paulo,04208-052,-23.59750120563365,-46.60048597396863,1
4552187868,MCDONALD'S,McDonald's,Rua Maria Marcolina,440,São Paulo,03011-000,-23.537878968213302,-46.61608267190854,1
4713491634,McDonald's,McDonald's,Rua Doutor Luiz Migliano,,,,-23.61355779980192,-46.74268602171859,1
4936395923,MCDONALDS,McDonald's,,,,,-23.54267424785474,-46.64026242816379,1
4964023947,MCDONALD'S,McDonald's,Avenida Paulista,810,São Paulo,01310-100,-23.56592173668143,-46.65024703165921,1
5084749337,MCDONALD'S,McDonald's,Rua São Bento,215,São Paulo,01011-000,-23.546831782278986,-46.635434916333246,1
5091921398,McDonald's,McDonald's,Rua Vinte e Cinco de Março,767,São Paulo,01021-200,-23.54325352639689,-46.63236231555573,1
5186280749,MCDONALDS,McDonald's,Rua Vinte e Cinco de Março,1109,São Paulo,01021-200,-23.54031574590284,-46.63231732929977,1
5887250288,MCDONALDS,McDonald's,,,,,-23.540426979686544,-46.44977105233446,1
5894715989,MCDONALD'S,McDonald's,,,,,-23.520826768994333,-46.70113516135181,1
5894770685,Mc Donalds,McDonald's,,,,,-23.65348539750624,-46.70990754455824,1
6216089070,Mc Donalds,McDonald's,,,,,-23.52144178574901,-46.59934334807981,1
6389931858,MCDONALD'S,McDonald's,,,,,-23.58989355192804,-46.61989089975609,1
6584571806,MCDONALDS,McDonald's,Avenida Marechal Tito,3333,,,-23.49461303521298,-46.41297601139478,1
6711300983,MCDONALDS,McDonald's,Avenida Brigadeiro Faria Lima,1721,São Paulo,01452-001,-23.572679373455948,-46.68968316874051,1
